id=0, mid=513, title=Android-多平台分享, image=http://img.mukewang.com/560254cd0001dd7406000338-240-135.jpg, subtitle=本节课带领学生掌握分享内容至新浪微博。, timespan=44分钟, hasnote=0, hasover=0, lorder=0
id=0, mid=509, title=PHP实现微信公众平台开发—提升篇, image=http://img.mukewang.com/5600fb2a0001627206000338-240-135.jpg, subtitle=打通消息推送的任督二脉。, timespan=2小时3分钟, hasnote=0, hasover=0, lorder=0
id=0, mid=410, title=HQL数据查询基础, image=http://img.mukewang.com/5578ea2f0001d7b106000338-240-135.jpg, subtitle=使用HQL从数据库中找到你要的数据, timespan=1小时40分钟, hasnote=0, hasover=1, lorder=0
id=0, mid=506, title=前端工程师必备的PS技能——切图篇, image=http://img.mukewang.com/55ff5d730001eda806000338-240-135.jpg, subtitle=前端开发需了解的Photoshop基本知识及切图技巧。, timespan=2小时, hasnote=0, hasover=0, lorder=0
id=0, mid=501, title=MongoDB集群之分片技术应用, image=http://img.mukewang.com/55f8d5080001293c06000338-240-135.jpg, subtitle=深入接触MongoDB分片技术。, timespan=1小时57分钟, hasnote=0, hasover=1, lorder=0
id=0, mid=500, title=Android-短信验证, image=http://img.mukewang.com/55f29e040001935a06000338-240-135.jpg, subtitle=本课程通过代码实践实现Android中的短信验证。, timespan=1小时9分钟, hasnote=0, hasover=1, lorder=0
id=0, mid=477, title=C++远征之模板篇, image=http://img.mukewang.com/55cc716c0001756806000338-240-135.jpg, subtitle=模板，站在巨人的肩膀上。, timespan=3小时20分钟, hasnote=0, hasover=1, lorder=0
id=0, mid=494, title=Hello，移动WEB, image=http://img.mukewang.com/55f93f980001f52125001408-240-135.jpg, subtitle=跟随移动互联网的浪潮&quot;移动web&quot;, timespan=2小时1分钟, hasnote=0, hasover=1, lorder=0
id=0, mid=499, title=Linux权限管理之特殊权限, image=http://img.mukewang.com/55f147b400019c4d25001408-240-135.jpg, subtitle=Linux中的常用权限命令！, timespan=2小时29分钟, hasnote=0, hasover=1, lorder=0
id=0, mid=491, title=与《YII框架》不得不说的故事—扩展篇, image=http://img.mukewang.com/55e520760001c53906000338-240-135.jpg, subtitle=让程序具有高扩展性。, timespan=1小时51分钟, hasnote=0, hasover=1, lorder=0
id=0, mid=486, title=IOS基础教程之界面初体验, image=http://img.mukewang.com/55ea64dc0001197b06000338-240-135.jpg, subtitle=看了这么久的控制台，该换换口味了, timespan=2小时12分钟, hasnote=0, hasover=1, lorder=0
id=0, mid=493, title=Android高级特效-索引, image=http://img.mukewang.com/55ed400f000103a406000338-240-135.jpg, subtitle=APP中的熟面孔，索引列表的实现！, timespan=1小时42分钟, hasnote=0, hasover=1, lorder=0
id=0, mid=487, title=Cocos2d-x游戏开发之贪吃蛇(上集), image=http://img.mukewang.com/55ea628c000104bb25001408-240-135.jpg, subtitle=贪吃蛇都玩过，有没有想过自己实现呢？, timespan=2小时7分钟, hasnote=0, hasover=1, lorder=0
id=0, mid=488, title=DOM探索之基础详解篇, image=http://img.mukewang.com/55dd982f0001ecb906000338-240-135.jpg, subtitle=前端大牛都是从精通DOM开始的，你准备好了吗！, timespan=2小时10分钟, hasnote=0, hasover=1, lorder=0
id=0, mid=489, title=Android-仿微信图片选择器, image=http://img.mukewang.com/55e3bbf90001bb3706000338-240-135.jpg, subtitle=实现微信APP中的图片选择器，综合案例不容错过！, timespan=3小时1分钟, hasnote=0, hasover=1, lorder=0
id=0, mid=478, title=Spring事务管理, image=http://img.mukewang.com/55d18ecd00016ca606000338-240-135.jpg, subtitle=应用事务解决银行转账中数据不一致问题！, timespan=2小时, hasnote=0, hasover=1, lorder=0
id=0, mid=481, title=Linux权限管理之基本权限, image=http://img.mukewang.com/55dd95220001ca4d06000338-240-135.jpg, subtitle=Linux的基本权限和默认权限管理！, timespan=1小时7分钟, hasnote=0, hasover=1, lorder=0
id=0, mid=436, title=sass进阶篇, image=http://img.mukewang.com/55cc0b070001efb706000338-240-135.jpg, subtitle=Sass使你摆脱重复编写css代码的工作。, timespan=4小时55分钟, hasnote=0, hasover=1, lorder=0
id=0, mid=422, title=C#开发轻松入门, image=http://img.mukewang.com/5578ec68000165e906000338-240-135.jpg, subtitle=.NET开发轻松入门, timespan=4小时42分钟, hasnote=0, hasover=1, lorder=0
id=0, mid=417, title=神奇的JpGraph类库, image=http://img.mukewang.com/55de73170001542a06000338-240-135.jpg, subtitle=通过JpGraph类库可以画出炫彩的统计图。, timespan=44分钟, hasnote=0, hasover=1, lorder=0
id=0, cid=2, title=简介, titletype=, mid=0, tid=1, timespan=, pid=0
id=0, cid=2, title=课程简介, titletype=video, mid=9653, tid=1, timespan=01:48, pid=0
id=0, cid=2, title=模块化技术, titletype=, mid=0, tid=2, timespan=, pid=0
id=0, cid=2, title=模块化设计, titletype=video, mid=9641, tid=1, timespan=04:28, pid=0
id=0, cid=2, title=YII模块化实现, titletype=video, mid=9642, tid=2, timespan=20:32, pid=0
id=0, cid=2, title=事件机制技术, titletype=, mid=0, tid=3, timespan=, pid=0
id=0, cid=2, title=事件机制, titletype=video, mid=9643, tid=1, timespan=06:08, pid=0
id=0, cid=2, title=YII事件使用方式, titletype=video, mid=9644, tid=2, timespan=31:42, pid=0
id=0, cid=2, title=Mixin技术, titletype=, mid=0, tid=4, timespan=, pid=0
id=0, cid=2, title=关于mixin, titletype=video, mid=9645, tid=1, timespan=02:39, pid=0
id=0, cid=2, title=YII行为之类混合, titletype=video, mid=9646, tid=2, timespan=10:05, pid=0
id=0, cid=2, title=YII行为之对象混合, titletype=video, mid=9647, tid=3, timespan=05:11, pid=0
id=0, cid=2, title=依赖注入, titletype=, mid=0, tid=5, timespan=, pid=0
id=0, cid=2, title=YII依赖注入, titletype=video, mid=9648, tid=1, timespan=06:07, pid=0
id=0, cid=2, title=YII依赖注入之容器, titletype=video, mid=9649, tid=2, timespan=11:53, pid=0
id=0, cid=2, title=YII依赖注入之服务定位器, titletype=video, mid=9650, tid=3, timespan=08:17, pid=0
id=0, cid=2, title=总结, titletype=, mid=0, tid=6, timespan=, pid=0
id=0, cid=2, title=课程总结, titletype=video, mid=9651, tid=1, timespan=02:34, pid=0
------------------
id=0, cid=4, title=课程介绍, titletype=, mid=0, tid=1, timespan=, pid=0
id=0, cid=4, title=课程重点, titletype=video, mid=9828, tid=1, timespan=01:10, pid=0
id=0, cid=4, title=关于事件推送, titletype=, mid=0, tid=2, timespan=, pid=0
id=0, cid=4, title=事件推送介绍, titletype=video, mid=9829, tid=1, timespan=01:33, pid=0
id=0, cid=4, title=开发环境搭建, titletype=video, mid=9830, tid=2, timespan=07:44, pid=0
id=0, cid=4, title=重构验证接口, titletype=video, mid=9831, tid=3, timespan=03:21, pid=0
id=0, cid=4, title=基于ThinkPHP框架的微信API接入, titletype=video, mid=9832, tid=4, timespan=04:05, pid=0
id=0, cid=4, title=消息推送的实现, titletype=, mid=0, tid=3, timespan=, pid=0
id=0, cid=4, title=接收事件订阅与回复响应消息（一）, titletype=video, mid=9833, tid=1, timespan=19:03, pid=0
id=0, cid=4, title=接收事件订阅与回复响应消息（二）, titletype=video, mid=9834, tid=2, timespan=12:35, pid=0
id=0, cid=4, title=纯文本消息回复的实现, titletype=, mid=0, tid=4, timespan=, pid=0
id=0, cid=4, title=消息回复介绍, titletype=video, mid=9835, tid=1, timespan=00:52, pid=0
id=0, cid=4, title=纯文本回复代码实现, titletype=video, mid=9836, tid=2, timespan=12:36, pid=0
id=0, cid=4, title=图文消息回复的实现, titletype=, mid=0, tid=5, timespan=, pid=0
id=0, cid=4, title=图文消息介绍, titletype=video, mid=9837, tid=1, timespan=02:57, pid=0
id=0, cid=4, title=单图文消息代码实现, titletype=video, mid=9838, tid=2, timespan=08:38, pid=0
id=0, cid=4, title=验证单图文, titletype=video, mid=9839, tid=3, timespan=11:22, pid=0
id=0, cid=4, title=验证多图文, titletype=video, mid=9840, tid=4, timespan=05:48, pid=0
id=0, cid=4, title=关于access_token, titletype=, mid=0, tid=6, timespan=, pid=0
id=0, cid=4, title=access_token的特性_x264, titletype=video, mid=9841, tid=1, timespan=07:56, pid=0
id=0, cid=4, title=access_token说明_x264, titletype=video, mid=9842, tid=2, timespan=02:40, pid=0
id=0, cid=4, title=curl的简单实例_x264, titletype=video, mid=9843, tid=3, timespan=04:19, pid=0
id=0, cid=4, title=获取access_token和微信服务器ip地址_x264, titletype=video, mid=9844, tid=4, timespan=16:23, pid=0
